response,h,pctl_16,median,pctl_84,model
investment,3,-2.46779316781897,-2.191290783249,-1.89077873796753,bayesian_fd
investment,4,-2.28587344303813,-1.93901663685567,-1.59129267659671,bayesian_fd
investment,5,-2.06207889778673,-1.67477439619519,-1.27643598439084,bayesian_fd
investment,6,-1.83089263299738,-1.39784345453621,-0.957337349300595,bayesian_fd
investment,7,-1.58379371918984,-1.12378273501448,-0.664887612419502,bayesian_fd
investment,8,-1.34133673051679,-0.866767309116021,-0.403198186696951,bayesian_fd
investment,9,-1.11107244538817,-0.632601486284993,-0.160575175763426,bayesian_fd
investment,10,-0.90073425950726,-0.41552270247302,0.0655003559692573,bayesian_fd
investment,11,-0.709805765656784,-0.221462323927701,0.252569491502091,bayesian_fd
investment,12,-0.54696529336483,-0.0627538795715712,0.402312787647907,bayesian_fd
investment,13,-0.39629925829687,0.0691069659757687,0.543392559766516,bayesian_fd
investment,14,-0.291682062537735,0.184590323355195,0.658669308794618,bayesian_fd
investment,15,-0.199141109127204,0.252326638562616,0.730503136560564,bayesian_fd
investment,16,-0.132830325494253,0.319144115307624,0.794282849792385,bayesian_fd
investment,17,-0.0951739058326078,0.351966010850043,0.831235086065972,bayesian_fd
investment,18,-0.0780704839724477,0.367452084470317,0.8469473979308,bayesian_fd
investment,19,-0.068756848686949,0.364500672825685,0.837686102647152,bayesian_fd
investment,20,-0.0730725594546595,0.354899908951112,0.829830108640319,bayesian_fd
investment,21,-0.0695441276618656,0.328712077172764,0.795304032033541,bayesian_fd
investment,22,-0.0888669000114995,0.293936939780185,0.754936318551266,bayesian_fd
investment,23,-0.118874161648468,0.256826370262953,0.698574739642316,bayesian_fd
investment,24,-0.153740160540559,0.21289637553247,0.635720725419407,bayesian_fd
investment,25,-0.192039724533986,0.171797785870969,0.581413361659787,bayesian_fd
investment,26,-0.221121044566559,0.123323808565959,0.515277449732445,bayesian_fd
investment,27,-0.256788479358765,0.0788041503180658,0.459369505428556,bayesian_fd
investment,28,-0.296491628832261,0.0343868620555576,0.400076048447249,bayesian_fd
investment,29,-0.332061582133237,-0.00323971545569871,0.347118273508607,bayesian_fd
investment,30,-0.356934349575922,-0.0391862891050385,0.290887248940262,bayesian_fd
investment,31,-0.388167263205831,-0.0813388798847096,0.231810371162095,bayesian_fd
investment,32,-0.417727068820329,-0.114379317604463,0.191258139765314,bayesian_fd
investment,33,-0.448479063489483,-0.141875964731306,0.154259307046356,bayesian_fd
investment,34,-0.461656982850416,-0.163363209191493,0.126206834574517,bayesian_fd
investment,35,-0.474662000993833,-0.180068072399231,0.103740425959081,bayesian_fd
investment,36,-0.490695569582428,-0.195851914895873,0.084008227335988,bayesian_fd
investment,37,-0.498070910904965,-0.204097552729979,0.0591857427244269,bayesian_fd
investment,38,-0.50665791164538,-0.210678090018245,0.0506072618810484,bayesian_fd
investment,39,-0.511822341698432,-0.213542853212021,0.0375715094322947,bayesian_fd
investment,40,-0.513049715319745,-0.212410744509531,0.0300093148266849,bayesian_fd
consumption,1,-0.153063859853873,-0.116509984706658,-0.0816866102111792,bayesian_fd
consumption,2,-0.211283027124871,-0.173239530496903,-0.134254187914113,bayesian_fd
consumption,3,-0.241009882897117,-0.197552232711026,-0.150668691564486,bayesian_fd
consumption,4,-0.261047860305255,-0.206429607789494,-0.149232187128811,bayesian_fd
consumption,5,-0.270570225462718,-0.206239212718555,-0.137180196776627,bayesian_fd
consumption,6,-0.271483200765013,-0.196729442364434,-0.122670778985625,bayesian_fd
consumption,7,-0.265937882507169,-0.183495603079839,-0.0999447939755257,bayesian_fd
consumption,8,-0.255972732839052,-0.165959829301642,-0.075926223128254,bayesian_fd
consumption,9,-0.246218557627814,-0.145285107109175,-0.0461594349201794,bayesian_fd
consumption,10,-0.232071911444237,-0.124480708401554,-0.0168478464950054,bayesian_fd
consumption,11,-0.216806824516166,-0.103380370070088,0.0113931679325803,bayesian_fd
consumption,12,-0.202098608007176,-0.0830364352610613,0.0439281112098803,bayesian_fd
consumption,13,-0.187970941548347,-0.0665705111246994,0.0674850916762741,bayesian_fd
consumption,14,-0.175458953113772,-0.0477394523933397,0.0945994811167361,bayesian_fd
consumption,15,-0.165474829861482,-0.0321845782190624,0.116908445724492,bayesian_fd
consumption,16,-0.158395635994301,-0.0203070288586544,0.133816349389979,bayesian_fd
consumption,17,-0.15531968856171,-0.00836116820205372,0.150627762724607,bayesian_fd
consumption,18,-0.150490185725297,-0.00186205250830979,0.160369652350153,bayesian_fd
consumption,19,-0.148673277284247,0.00335704101288648,0.165461514590579,bayesian_fd
consumption,20,-0.148132732971581,0.0079578647163402,0.168554936001035,bayesian_fd
consumption,21,-0.149120933120777,0.00751730881002228,0.172400185135893,bayesian_fd
consumption,22,-0.149946867935572,0.00692358981547874,0.173533233775679,bayesian_fd
consumption,23,-0.153112880748175,0.00687035219609606,0.174064484205343,bayesian_fd
consumption,24,-0.159151294608311,0.00357129322866144,0.168542409645924,bayesian_fd
consumption,25,-0.163915604350873,0.00103447572344297,0.164223468871949,bayesian_fd
consumption,26,-0.170040336233669,-0.00181479225050379,0.157054053422498,bayesian_fd
consumption,27,-0.177044690315064,-0.00838949095601857,0.150365414541893,bayesian_fd
consumption,28,-0.183782548335471,-0.0131705255591632,0.144886267317013,bayesian_fd
consumption,29,-0.193618956238299,-0.0184151643334113,0.139273677657101,bayesian_fd
consumption,30,-0.198433674463739,-0.0239946788962317,0.134848154471309,bayesian_fd
consumption,31,-0.209572515927833,-0.0304345160288788,0.1280801891295,bayesian_fd
consumption,32,-0.215668658457496,-0.0381426408347323,0.123448336947458,bayesian_fd
consumption,33,-0.221388884803564,-0.0481759930956347,0.116415246820419,bayesian_fd
consumption,34,-0.228600684938082,-0.0538190472926289,0.107105470801682,bayesian_fd
consumption,35,-0.235013669643546,-0.0595769882021815,0.100865823501536,bayesian_fd
consumption,36,-0.239869117905091,-0.0647466160201618,0.0912792624452339,bayesian_fd
consumption,37,-0.243286808444386,-0.068229674255699,0.0850258292214892,bayesian_fd
consumption,38,-0.249197783917487,-0.0718552214903895,0.0797196374926896,bayesian_fd
consumption,39,-0.25560277304016,-0.0761510362887103,0.0774724935524101,bayesian_fd
consumption,40,-0.25958630459596,-0.081138029491999,0.0741491524351782,bayesian_fd
hours_worked,1,-0.491257289178448,-0.445534925385919,-0.398613227690513,bayesian_fd
hours_worked,2,-0.519733545563219,-0.474736570980796,-0.429819337917211,bayesian_fd
hours_worked,3,-0.536412320272657,-0.478969522326069,-0.419005730875498,bayesian_fd
hours_worked,4,-0.53277763537921,-0.460524242489689,-0.389130269331396,bayesian_fd
hours_worked,5,-0.514881345111736,-0.423816314721087,-0.344110914775261,bayesian_fd
hours_worked,6,-0.486270096828006,-0.384533167737055,-0.292420718570679,bayesian_fd
hours_worked,7,-0.447981468426796,-0.338268992164198,-0.237018667316416,bayesian_fd
hours_worked,8,-0.408420571249522,-0.288920695762555,-0.181421662199903,bayesian_fd
hours_worked,9,-0.36350148329894,-0.238970181228178,-0.121024316485936,bayesian_fd
hours_worked,10,-0.318345797577298,-0.190143173114937,-0.066940005497448,bayesian_fd
hours_worked,11,-0.270201909753679,-0.140999048273211,-0.0179629065975156,bayesian_fd
hours_worked,12,-0.229360299673128,-0.0968271880226709,0.0301891562117602,bayesian_fd
hours_worked,13,-0.190122714960021,-0.0553295850007745,0.0738194645999748,bayesian_fd
hours_worked,14,-0.154141423807865,-0.0193490922854515,0.109367481287437,bayesian_fd
hours_worked,15,-0.124126544229845,0.0108389833776021,0.142991438142008,bayesian_fd
hours_worked,16,-0.0958550662397125,0.0357503945247114,0.171272791214162,bayesian_fd
hours_worked,17,-0.0741144716638508,0.0561031571341975,0.197747448146728,bayesian_fd
hours_worked,18,-0.0581360067474188,0.0725646710049654,0.211917404351183,bayesian_fd
hours_worked,19,-0.0472987729771227,0.0816528913128744,0.221998986328087,bayesian_fd
hours_worked,20,-0.0424415749717021,0.0870995618406646,0.229041525368695,bayesian_fd
hours_worked,21,-0.0346542974927492,0.0874299183556535,0.228065169130548,bayesian_fd
hours_worked,22,-0.035427174800219,0.0864333180779593,0.226240176196251,bayesian_fd
hours_worked,23,-0.0376160341493248,0.0823691982382968,0.217729103372036,bayesian_fd
hours_worked,24,-0.0413161051152934,0.0748098035965193,0.21155137268788,bayesian_fd
hours_worked,25,-0.0463590809486727,0.0691756731909946,0.199215612742596,bayesian_fd
hours_worked,26,-0.0539275498169713,0.059624071906566,0.186654135144461,bayesian_fd
hours_worked,27,-0.0619011749551344,0.0495159931139911,0.170780567861841,bayesian_fd
hours_worked,28,-0.067900939533202,0.0409026192683431,0.158377685792716,bayesian_fd
hours_worked,29,-0.075565133939818,0.0296745883856255,0.142254634486891,bayesian_fd
hours_worked,30,-0.085456585581027,0.01921932880716,0.131502317717786,bayesian_fd
hours_worked,31,-0.0959621091281718,0.00684515747779168,0.11920506458004,bayesian_fd
hours_worked,32,-0.107148757459934,-0.003799274853099,0.106350170671207,bayesian_fd
hours_worked,33,-0.115095477622812,-0.0134170430147922,0.0935922109449047,bayesian_fd
hours_worked,34,-0.123496437548844,-0.0227272463374055,0.0816329383529188,bayesian_fd
hours_worked,35,-0.131151891433062,-0.0297217543157888,0.0726294887597837,bayesian_fd
hours_worked,36,-0.138077279413515,-0.0372709940195659,0.0626067655691381,bayesian_fd
hours_worked,37,-0.147035608090451,-0.0442795006545925,0.0550700964635729,bayesian_fd
hours_worked,38,-0.153021431673378,-0.0498511615835362,0.0498069336824537,bayesian_fd
hours_worked,39,-0.157315765558017,-0.0548006648860641,0.0445950935602789,bayesian_fd
hours_worked,40,-0.161769632327529,-0.0585675848205191,0.0394000420667708,bayesian_fd
unemployment,1,0.227895888500873,0.245778734707419,0.26337547943446,bayesian_fd
unemployment,2,0.305379213970172,0.322470619422101,0.34164832916927,bayesian_fd
unemployment,3,0.322333994707209,0.345229747217754,0.366921429430014,bayesian_fd
unemployment,4,0.314161028088909,0.347244953010249,0.378212710095673,bayesian_fd
unemployment,5,0.294903213085705,0.337128755698779,0.377077058672931,bayesian_fd
unemployment,6,0.267415545478124,0.316933146177291,0.36653807244589,bayesian_fd
unemployment,7,0.233938044810511,0.290220635014992,0.34761683996836,bayesian_fd
unemployment,8,0.197746666674431,0.258668050225082,0.320424701348034,bayesian_fd
unemployment,9,0.161884195979239,0.22488477297752,0.289538378895504,bayesian_fd
unemployment,10,0.12567551655404,0.189755695121,0.254647753427832,bayesian_fd
unemployment,11,0.0883945799640218,0.154889825089064,0.222512106314792,bayesian_fd
unemployment,12,0.056801241404324,0.121151796115464,0.190062650617075,bayesian_fd
unemployment,13,0.0248690340773421,0.0890426004116699,0.157677744022735,bayesian_fd
unemployment,14,-0.00432603990872813,0.061092992636286,0.129725325944544,bayesian_fd
unemployment,15,-0.0288817079847901,0.0343233298688799,0.101907923411481,bayesian_fd
unemployment,16,-0.0536508694076939,0.0110576895249831,0.0775654153766921,bayesian_fd
unemployment,17,-0.0719564469787813,-0.00865557288237751,0.0565134236688379,bayesian_fd
unemployment,18,-0.0862625638137663,-0.024366395152659,0.0400980567910481,bayesian_fd
unemployment,19,-0.0963014603163684,-0.0362102450108796,0.0250582921869768,bayesian_fd
unemployment,20,-0.107844892925396,-0.0458766275662792,0.0125463711598911,bayesian_fd
unemployment,21,-0.113540813471689,-0.0528788495396794,0.000956549068473606,bayesian_fd
unemployment,22,-0.11745237768771,-0.0588522058790203,-0.00662740972840303,bayesian_fd
unemployment,23,-0.116483144343208,-0.0625746898497508,-0.0115848923090165,bayesian_fd
unemployment,24,-0.116893840800277,-0.0631465327993526,-0.0148642718831147,bayesian_fd
unemployment,25,-0.114922770247933,-0.0619580774281496,-0.0147576582442472,bayesian_fd
unemployment,26,-0.112594139958032,-0.0596692044307499,-0.0138797362411183,bayesian_fd
unemployment,27,-0.108093217707564,-0.0566443033802565,-0.0129185419059016,bayesian_fd
unemployment,28,-0.103262608889923,-0.0531192031660004,-0.0114690430633445,bayesian_fd
unemployment,29,-0.0978368768756791,-0.0484794171736147,-0.00936729413987292,bayesian_fd
unemployment,30,-0.0930627774403911,-0.0434981623731093,-0.00559059003850157,bayesian_fd
unemployment,31,-0.0873718310665431,-0.038955794406975,-0.00226260979990599,bayesian_fd
unemployment,32,-0.0802326292176315,-0.0349732031906987,0.00121499479195924,bayesian_fd
unemployment,33,-0.0741743707654614,-0.0304040386037718,0.0049697851798219,bayesian_fd
unemployment,34,-0.0688668535048092,-0.0269247219701471,0.00684443520260618,bayesian_fd
unemployment,35,-0.0639898014649999,-0.0231046567715194,0.00880907689777274,bayesian_fd
unemployment,36,-0.0598549962267303,-0.0200216568353699,0.0112109767025515,bayesian_fd
unemployment,37,-0.0555803355294523,-0.0164480576375787,0.0126460852822393,bayesian_fd
unemployment,38,-0.0529047310914673,-0.0140417224757691,0.0132159069176663,bayesian_fd
unemployment,39,-0.0494912940208661,-0.0124949446763444,0.0150921623643233,bayesian_fd
unemployment,40,-0.0461516634216096,-0.0105120454188891,0.0167700317412636,bayesian_fd
labor_share,1,0.277929493414217,0.369966106401324,0.456984378358611,bayesian_fd
labor_share,2,0.137212738976657,0.216792891413881,0.288548328832542,bayesian_fd
labor_share,3,0.0469541793680969,0.118333940184943,0.182030957946757,bayesian_fd
labor_share,4,-0.0339480770000803,0.0285958761616858,0.0887527401874421,bayesian_fd
labor_share,5,-0.100682649211922,-0.0405141154086719,0.0148889347720091,bayesian_fd
labor_share,6,-0.152887184674994,-0.0965967930015549,-0.0426286211680057,bayesian_fd
labor_share,7,-0.192130483552154,-0.138232700216783,-0.0827038657227667,bayesian_fd
labor_share,8,-0.221669650549666,-0.167580196075184,-0.112288823564604,bayesian_fd
labor_share,9,-0.241575473601672,-0.184773588929701,-0.127710150066089,bayesian_fd
labor_share,10,-0.252044498342574,-0.191869943839809,-0.133628448780968,bayesian_fd
labor_share,11,-0.255801602179341,-0.193011175820126,-0.131790856044323,bayesian_fd
labor_share,12,-0.253940730511844,-0.187201982938191,-0.12486646984327,bayesian_fd
labor_share,13,-0.24745851844134,-0.175633008482177,-0.113734263657901,bayesian_fd
labor_share,14,-0.238870847866131,-0.161723083732908,-0.0985817756847675,bayesian_fd
labor_share,15,-0.223962426130551,-0.144910697239707,-0.0821910115372964,bayesian_fd
labor_share,16,-0.203810877529014,-0.127973342492844,-0.0622426309530716,bayesian_fd
labor_share,17,-0.184958869502349,-0.110722346190688,-0.0436555332168542,bayesian_fd
labor_share,18,-0.166091152997672,-0.0925194644436699,-0.0250709759663224,bayesian_fd
labor_share,19,-0.147586510163558,-0.0746279290849965,-0.00876600459717067,bayesian_fd
labor_share,20,-0.131433447197485,-0.0585558625794916,0.00845989750669096,bayesian_fd
labor_share,21,-0.113594551232711,-0.0423989416768103,0.0232133199070588,bayesian_fd
labor_share,22,-0.0992348610714589,-0.0280885197529259,0.0363392212154291,bayesian_fd
labor_share,23,-0.0882009983308893,-0.0178080806050774,0.0481435881482877,bayesian_fd
labor_share,24,-0.0759211326283384,-0.00778694379349614,0.056565683470676,bayesian_fd
labor_share,25,-0.0657571229326569,-0.000205942996403356,0.0645497297232796,bayesian_fd
labor_share,26,-0.05830693140826,0.00740389444251267,0.068564063468049,bayesian_fd
labor_share,27,-0.0522970557411605,0.0123909537468123,0.0727977052540892,bayesian_fd
labor_share,28,-0.0470175082108767,0.0164815616209204,0.075701623737859,bayesian_fd
labor_share,29,-0.0444803445664794,0.0171599043244536,0.0775361918073335,bayesian_fd
labor_share,30,-0.0434044068797861,0.0179190438151021,0.0774115344773915,bayesian_fd
labor_share,31,-0.0428057400390052,0.018115503928759,0.0761533725392436,bayesian_fd
labor_share,32,-0.0417158716003958,0.0168413996352153,0.0727505064060076,bayesian_fd
labor_share,33,-0.0420188523155237,0.0145941340864869,0.0696697950847408,bayesian_fd
labor_share,34,-0.0431164647395541,0.0123751407101294,0.0657789755145578,bayesian_fd
labor_share,35,-0.0454586729714204,0.00899990608051088,0.0603754429425572,bayesian_fd
labor_share,36,-0.0475284778553257,0.00724939390793726,0.0558078428651158,bayesian_fd
labor_share,37,-0.0487687460010166,0.00381666679485339,0.0518848486586519,bayesian_fd
labor_share,38,-0.0509139902053701,-0.000457518706169023,0.0485428991011105,bayesian_fd
labor_share,39,-0.0535734781003102,-0.00405621502786277,0.0456642914751955,bayesian_fd
labor_share,40,-0.0550791358241416,-0.00775057274146098,0.0407160794123597,bayesian_fd
interest,1,-0.0856150881413915,-0.0628546802882835,-0.0380102397957927,bayesian_fd
interest,2,-0.107448890895679,-0.0838529844329518,-0.0596616659988075,bayesian_fd
interest,3,-0.116552292955269,-0.0947410862547431,-0.0717457073416551,bayesian_fd
interest,4,-0.124096321828484,-0.0999755581201384,-0.0769608362351087,bayesian_fd
interest,5,-0.12905498995265,-0.102688032615165,-0.0787799544125527,bayesian_fd
interest,6,-0.12945330713047,-0.101647695399436,-0.0782762096950907,bayesian_fd
interest,7,-0.127023988967226,-0.0989353514351291,-0.0741886084626252,bayesian_fd
interest,8,-0.123286367123541,-0.0939358665792069,-0.0685903132352053,bayesian_fd
interest,9,-0.117383652251477,-0.0870093276174438,-0.0620032653352312,bayesian_fd
interest,10,-0.110980567952302,-0.0796658829217548,-0.0534800663440377,bayesian_fd
interest,11,-0.104329220431898,-0.0715099728474589,-0.0452337142646866,bayesian_fd
interest,12,-0.0962151488449602,-0.0629846291159985,-0.0372553906150386,bayesian_fd
interest,13,-0.0889433436338778,-0.0545397845877568,-0.0291073571871772,bayesian_fd
interest,14,-0.0815101187107126,-0.0463659354472654,-0.0205683076458205,bayesian_fd
interest,15,-0.0721521489422572,-0.0387241692256388,-0.0127726021467457,bayesian_fd
interest,16,-0.0646315736298189,-0.0323330429469473,-0.00538354394394138,bayesian_fd
interest,17,-0.0569680110277167,-0.0255622355003392,0.000326438247419056,bayesian_fd
interest,18,-0.050187659289427,-0.0201073509290989,0.00591918287560387,bayesian_fd
interest,19,-0.0447150135509227,-0.0159307210748432,0.00977923077417007,bayesian_fd
interest,20,-0.0399728507347152,-0.0124819801553662,0.0139961489732501,bayesian_fd
interest,21,-0.0357775892157604,-0.00912283596355392,0.0164982834367474,bayesian_fd
interest,22,-0.0328977800870211,-0.00592772507429962,0.0185545290534764,bayesian_fd
interest,23,-0.0307174885431222,-0.00398730176922359,0.01989542988126,bayesian_fd
interest,24,-0.0290409862582891,-0.00254352494133853,0.0204084226823075,bayesian_fd
interest,25,-0.0278615531479304,-0.00141900909804949,0.0207308799636159,bayesian_fd
interest,26,-0.027489908244437,-0.00128512439714554,0.0200768252646419,bayesian_fd
interest,27,-0.0265056184282927,-0.0012473669551291,0.0204223748973784,bayesian_fd
interest,28,-0.0257769503958843,-0.00159718731914159,0.019088274122852,bayesian_fd
interest,29,-0.0259319396303065,-0.00260514548409579,0.017853544591705,bayesian_fd
interest,30,-0.0256461654857154,-0.00352260325369421,0.0166846594036789,bayesian_fd
interest,31,-0.0257867143432873,-0.00459176010995656,0.0150856182816237,bayesian_fd
interest,32,-0.0266330305653576,-0.00573638559609439,0.0136861014040414,bayesian_fd
interest,33,-0.0277997515238835,-0.00664912298579348,0.0121949786548169,bayesian_fd
interest,34,-0.0282305924948508,-0.00785649923945778,0.010884524177303,bayesian_fd
interest,35,-0.0292204113298077,-0.00862377413052557,0.009300766368463,bayesian_fd
interest,36,-0.0296147310542413,-0.00951494963028384,0.00779229887777032,bayesian_fd
interest,37,-0.02996503502508,-0.0105760452320005,0.00655350564881409,bayesian_fd
interest,38,-0.0306974933665172,-0.0114750427144803,0.00561425528221877,bayesian_fd
interest,39,-0.0314301087766121,-0.0118325454199591,0.00481648823862439,bayesian_fd
interest,40,-0.0319336860275358,-0.0122702323022281,0.00393126875072852,bayesian_fd
inflation,1,-0.0141621496187232,0.0149215237504596,0.041723538279105,bayesian_fd
inflation,2,-0.0243407537054288,-0.00420038456451289,0.0148603394935825,bayesian_fd
inflation,3,-0.0378892077474511,-0.0202197677733011,-0.00269269024324845,bayesian_fd
inflation,4,-0.0453943643590699,-0.0291539879984766,-0.0109626761063986,bayesian_fd
inflation,5,-0.0508325634953043,-0.0346885175677346,-0.0170038878278386,bayesian_fd
inflation,6,-0.0538026145524043,-0.0369544211971347,-0.0202556147077654,bayesian_fd
inflation,7,-0.0552642034357432,-0.0373942786191087,-0.0212560731487988,bayesian_fd
inflation,8,-0.0554275503507137,-0.0363912466431306,-0.0202842170525575,bayesian_fd
inflation,9,-0.0544086110688886,-0.0345169670856534,-0.0182831937331968,bayesian_fd
inflation,10,-0.0524380955281802,-0.0323744936247232,-0.0155589272726419,bayesian_fd
inflation,11,-0.0497485622205064,-0.0295650777215797,-0.0125554702192796,bayesian_fd
inflation,12,-0.0463034778640041,-0.0268710672193599,-0.00926053645847066,bayesian_fd
inflation,13,-0.0425085128826772,-0.0241298447349593,-0.00676909151236322,bayesian_fd
inflation,14,-0.0393667268519668,-0.0210350400327634,-0.00441344728725193,bayesian_fd
inflation,15,-0.0363309289331886,-0.0181933345100308,-0.00157454198866166,bayesian_fd
inflation,16,-0.0337985746554711,-0.0152973937007487,0.00103810006465379,bayesian_fd
inflation,17,-0.0306870012756599,-0.0128461018642704,0.00333440988957234,bayesian_fd
inflation,18,-0.0284399852345889,-0.0106494167946728,0.00492242148480291,bayesian_fd
inflation,19,-0.025996007091088,-0.00869250582999633,0.00670209862116724,bayesian_fd
inflation,20,-0.0243032524014889,-0.00725091140533185,0.00768412305270466,bayesian_fd
inflation,21,-0.0226920213810985,-0.00592396731434072,0.00920129685555403,bayesian_fd
inflation,22,-0.0217860259714796,-0.00503637704176587,0.00981376580784556,bayesian_fd
inflation,23,-0.0205490814909546,-0.00425351451809001,0.00985077286757977,bayesian_fd
inflation,24,-0.0198118144657486,-0.00355783774425574,0.00988400052975693,bayesian_fd
inflation,25,-0.0192510472840918,-0.00320403332022748,0.0100193618460216,bayesian_fd
inflation,26,-0.0182587403629256,-0.0031437227338045,0.00986892960671328,bayesian_fd
inflation,27,-0.0172456550837259,-0.00288192503428246,0.00990767405667314,bayesian_fd
inflation,28,-0.0169800666330381,-0.00297236876275491,0.00946942190526722,bayesian_fd
inflation,29,-0.0172826061283561,-0.00335763501748898,0.00895203131574705,bayesian_fd
inflation,30,-0.017433388826204,-0.00347930589407444,0.00844603396378189,bayesian_fd
inflation,31,-0.0172237160730651,-0.00367211260569136,0.00790510583129794,bayesian_fd
inflation,32,-0.0169991700558269,-0.00390397859975931,0.00728462218007697,bayesian_fd
inflation,33,-0.0166172912665942,-0.00445491467635628,0.00685508420607027,bayesian_fd
inflation,34,-0.0162483997934084,-0.00489160578878688,0.00597848718325001,bayesian_fd
inflation,35,-0.0162307819889224,-0.00492963959700762,0.00570760181597661,bayesian_fd
inflation,36,-0.0161265315281563,-0.00519156479836095,0.00520231113021282,bayesian_fd
inflation,37,-0.0160245501576753,-0.00552396220300804,0.00487397128775957,bayesian_fd
inflation,38,-0.0158194749863591,-0.00543645742704096,0.00441565238046008,bayesian_fd
inflation,39,-0.0158559573055181,-0.00551167413114742,0.00407514249776134,bayesian_fd
inflation,40,-0.0158832724300515,-0.00557009912095209,0.00368336952520276,bayesian_fd
productivity,1,-0.438304303508571,-0.377959628561091,-0.310255802355967,bayesian_fd
productivity,2,-0.302684234181312,-0.236599916255926,-0.161732406922396,bayesian_fd
productivity,3,-0.206261719921884,-0.134404392648177,-0.057119759212257,bayesian_fd
productivity,4,-0.129732586745242,-0.0566159887812536,0.0249518449009243,bayesian_fd
productivity,5,-0.0732044439587884,0.00653746375925315,0.0914725165176418,bayesian_fd
productivity,6,-0.027511871442042,0.0545259078169102,0.145521660302026,bayesian_fd
productivity,7,0.00286527594315662,0.089058680300346,0.189045515405745,bayesian_fd
productivity,8,0.0184328046291488,0.110655374070758,0.212198519497896,bayesian_fd
productivity,9,0.0248989782126296,0.124580642382739,0.228838575452687,bayesian_fd
productivity,10,0.0282758375762238,0.125500459749684,0.234443080901313,bayesian_fd
productivity,11,0.0208429024895894,0.122283492548654,0.237164886602748,bayesian_fd
productivity,12,0.0066016869552223,0.114327099956088,0.235177691230904,bayesian_fd
productivity,13,-0.0132008081404197,0.0986464706256032,0.226972989761281,bayesian_fd
productivity,14,-0.0338657765806075,0.0848304640169588,0.214476297466909,bayesian_fd
productivity,15,-0.0534305859443514,0.0661903323765289,0.197170738273889,bayesian_fd
productivity,16,-0.0744766773243344,0.0492168751787771,0.180111267173837,bayesian_fd
